"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
29,"hund","word","animals",0.15,0.26,0.34,0.44,0.63,0.64,0.72,0.79,0.88,0.87,0.94,0.96,0.96,0.96,0.98,0.98,1,0.99,0.99,0.99,1
30,"pony","word","animals",0.01,0.01,0.01,0.01,0.01,0.05,0.04,0.08,0.1,0.12,0.14,0.19,0.15,0.26,0.25,0.27,0.34,0.42,0.31,0.48,0.44
31,"egern","word","animals",0.02,0,0.02,0.01,0.07,0.09,0.12,0.18,0.25,0.25,0.35,0.38,0.31,0.46,0.43,0.49,0.62,0.64,0.57,0.7,0.68
32,"høne","word","animals",0.04,0.06,0.1,0.14,0.23,0.27,0.43,0.46,0.6,0.68,0.72,0.76,0.75,0.82,0.85,0.9,0.91,0.93,0.92,0.92,0.96
33,"skildpadde","word","animals",0,0,0.03,0.02,0.09,0.11,0.17,0.23,0.35,0.45,0.5,0.56,0.56,0.66,0.7,0.78,0.85,0.84,0.85,0.86,0.86
34,"elefant","word","animals",0.03,0.06,0.12,0.15,0.32,0.34,0.53,0.53,0.69,0.77,0.85,0.86,0.87,0.92,0.92,0.95,0.99,0.98,0.99,0.97,0.99
35,"kalkun","word","animals",0,0.01,0,0.02,0.04,0.03,0.07,0.07,0.12,0.12,0.2,0.21,0.18,0.24,0.27,0.25,0.31,0.38,0.29,0.43,0.41
36,"sommerfugl","word","animals",0.02,0.02,0.06,0.04,0.15,0.22,0.36,0.42,0.54,0.63,0.72,0.74,0.76,0.81,0.85,0.89,0.96,0.95,0.96,0.96,0.94
37,"fisk (animal)","word","animals",0.07,0.07,0.16,0.21,0.33,0.42,0.57,0.63,0.72,0.78,0.86,0.9,0.91,0.92,0.94,0.96,0.97,0.96,0.99,0.96,1
38,"kanin","word","animals",0.04,0.08,0.14,0.15,0.29,0.38,0.49,0.58,0.69,0.7,0.79,0.8,0.83,0.86,0.92,0.9,0.93,0.97,0.97,0.95,0.97
39,"tiger","word","animals",0.04,0.06,0.08,0.13,0.21,0.28,0.47,0.48,0.57,0.72,0.78,0.82,0.79,0.85,0.87,0.92,0.92,0.95,0.96,0.96,0.94
40,"flue","word","animals",0.05,0.1,0.21,0.21,0.29,0.37,0.4,0.52,0.61,0.64,0.72,0.78,0.81,0.79,0.86,0.91,0.9,0.94,0.93,0.93,0.94
41,"kat","word","animals",0.12,0.16,0.24,0.37,0.48,0.54,0.66,0.69,0.82,0.84,0.91,0.92,0.94,0.93,0.95,0.98,0.99,0.99,0.99,0.97,0.99
42,"ugle","word","animals",0.02,0.02,0.04,0.07,0.16,0.18,0.3,0.32,0.41,0.44,0.57,0.62,0.53,0.66,0.69,0.73,0.8,0.83,0.75,0.81,0.83
43,"frø","word","animals",0.01,0.03,0.09,0.11,0.16,0.22,0.34,0.39,0.52,0.62,0.71,0.73,0.72,0.8,0.81,0.86,0.92,0.9,0.92,0.93,0.94
44,"killing","word","animals",0.01,0.01,0.02,0.04,0.08,0.07,0.14,0.16,0.21,0.28,0.34,0.4,0.32,0.48,0.53,0.57,0.61,0.67,0.6,0.65,0.78
45,"ulv","word","animals",0,0.01,0.02,0.01,0.05,0.06,0.11,0.12,0.12,0.2,0.27,0.26,0.28,0.37,0.36,0.34,0.47,0.56,0.5,0.6,0.56
46,"fugl","word","animals",0.16,0.23,0.36,0.4,0.52,0.63,0.7,0.74,0.82,0.87,0.9,0.93,0.95,0.92,0.98,0.98,0.99,0.97,0.99,0.99,1
