"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
39,"pingvin","word","animals",0,0.04,0.05,0.14,0.19,0.07,0.12,0.19,0.1,0.33,0.38,0.4,0.38,0.39,0.5
40,"prase","word","animals",0.08,0.04,0.27,0.43,0.46,0.41,0.46,0.62,0.7,0.77,0.72,0.84,0.95,0.89,0.93
41,"ptica","word","animals",0.23,0.28,0.5,0.43,0.77,0.59,0.75,0.65,0.93,0.77,0.9,0.92,1,0.82,0.96
42,"purica","word","animals",0,0,0.14,0.14,0.15,0.03,0.21,0.15,0.2,0.23,0.28,0.32,0.43,0.25,0.32
43,"riba (animal)","word","animals",0.08,0.16,0.32,0.43,0.62,0.59,0.79,0.81,0.93,0.83,0.93,0.92,1,0.93,1
44,"slon","word","animals",0.15,0.08,0.09,0.24,0.38,0.38,0.42,0.46,0.67,0.6,0.83,0.92,0.9,0.75,1
45,"sova","word","animals",0,0,0.05,0.1,0.12,0.21,0.25,0.31,0.33,0.17,0.41,0.32,0.38,0.54,0.36
46,"srna","word","animals",0,0.04,0,0,0.08,0.07,0.08,0.15,0.2,0.23,0.17,0.28,0.52,0.43,0.25
47,"tigar","word","animals",0,0,0,0.1,0.15,0.03,0.21,0.23,0.2,0.27,0.31,0.48,0.57,0.57,0.61
48,"vjeverica","word","animals",0,0,0,0.1,0.15,0.1,0.21,0.31,0.27,0.27,0.34,0.6,0.62,0.46,0.75
49,"vrabac","word","animals",0.08,0.24,0.36,0.52,0.62,0.52,0.58,0.77,0.73,0.73,0.79,0.88,0.9,0.79,0.93
50,"vuk","word","animals",0.08,0.16,0.27,0.19,0.38,0.31,0.46,0.46,0.73,0.63,0.62,0.88,0.9,0.82,0.86
51,"zebra","word","animals",0,0,0,0.05,0.12,0,0.12,0.15,0.07,0.17,0.14,0.24,0.29,0.39,0.32
52,"zeko","word","animals",0.08,0.24,0.36,0.52,0.65,0.72,0.75,0.77,0.87,0.8,0.93,0.92,1,0.93,0.93
53,"žaba","word","animals",0,0.08,0.18,0.19,0.42,0.34,0.42,0.62,0.63,0.73,0.69,0.8,0.9,0.93,0.89
54,"žirafa","word","animals",0,0,0,0.05,0.15,0,0.12,0.23,0.1,0.27,0.31,0.48,0.43,0.57,0.39
55,"životinja","word","animals",0,0,0,0,0.08,0.03,0.25,0.19,0.17,0.33,0.48,0.44,0.67,0.46,0.68
56,"auto","word","vehicles",0.31,0.44,0.73,0.67,0.73,0.79,0.88,0.92,0.97,0.93,1,1,1,1,1
57,"autobus","word","vehicles",0,0.04,0.05,0.29,0.31,0.31,0.38,0.46,0.53,0.6,0.66,0.8,0.95,0.71,0.86
58,"avion","word","vehicles",0,0.04,0.14,0.14,0.38,0.28,0.58,0.54,0.73,0.77,0.76,0.96,0.95,0.82,0.96
59,"bicikl","word","vehicles",0,0.08,0.18,0.29,0.46,0.38,0.38,0.73,0.73,0.8,0.72,0.88,0.86,0.82,0.86
60,"brod","word","vehicles",0.08,0.04,0.14,0.1,0.42,0.28,0.46,0.54,0.7,0.63,0.72,0.96,0.95,0.89,0.79
61,"helikopter","word","vehicles",0,0,0,0.05,0.12,0,0.17,0.35,0.2,0.4,0.31,0.48,0.52,0.32,0.68
62,"kamion","word","vehicles",0,0.04,0.14,0.19,0.31,0.24,0.42,0.54,0.63,0.63,0.62,0.88,0.95,0.82,1
63,"kolica","word","vehicles",0.08,0.16,0.27,0.29,0.35,0.31,0.38,0.62,0.73,0.53,0.69,0.8,0.71,0.71,0.89
64,"motor","word","vehicles",0,0.12,0.18,0.05,0.35,0.28,0.38,0.5,0.53,0.57,0.66,0.76,1,0.75,0.79
65,"sanjke","word","vehicles",0,0.08,0.09,0.1,0.15,0.14,0.21,0.15,0.2,0.43,0.48,0.56,0.71,0.43,0.61
66,"traktor","word","vehicles",0.08,0.12,0.14,0.19,0.31,0.28,0.54,0.35,0.6,0.73,0.59,0.76,0.76,0.75,0.82
67,"tramvaj","word","vehicles",0,0.04,0.09,0.05,0.12,0.07,0.04,0.23,0.17,0.27,0.34,0.4,0.52,0.46,0.39
68,"vatrogasci","word","vehicles",0,0.04,0,0,0.04,0.03,0.12,0.08,0.1,0.07,0.03,0.2,0.19,0.07,0.29
69,"vlak","word","vehicles",0.08,0.16,0.27,0.29,0.42,0.45,0.46,0.69,0.77,0.8,0.72,0.96,1,0.79,0.89
70,"balon","word","toys",0.08,0.24,0.32,0.43,0.38,0.59,0.58,0.62,0.8,0.87,0.93,0.96,0.95,0.89,0.96
71,"bojica","word","toys",0,0.04,0.09,0.05,0.27,0.14,0.42,0.42,0.53,0.37,0.48,0.64,0.76,0.46,0.71
72,"flomaster","word","toys",0,0,0.05,0,0.08,0.03,0.17,0.19,0.1,0.1,0.28,0.4,0.38,0.25,0.43
73,"igra","word","toys",0,0.04,0.14,0.1,0.23,0.21,0.42,0.38,0.53,0.57,0.66,0.6,0.62,0.54,0.79
74,"igračka","word","toys",0,0.04,0.09,0.05,0.19,0.21,0.29,0.38,0.43,0.63,0.62,0.8,1,0.82,0.89
75,"knjiga","word","toys",0.08,0.28,0.27,0.29,0.58,0.41,0.5,0.81,0.77,0.83,0.79,1,0.95,0.86,0.96
76,"kocka","word","toys",0.23,0.2,0.23,0.48,0.5,0.34,0.58,0.62,0.83,0.63,0.79,0.88,1,0.86,0.82
77,"kreda","word","toys",0,0,0,0.05,0.04,0.07,0.12,0.15,0.3,0.1,0.07,0.4,0.24,0.36,0.36
78,"lopatica","word","toys",0.08,0.08,0,0.1,0.23,0.24,0.38,0.35,0.4,0.47,0.41,0.6,0.9,0.71,0.86
79,"lopta","word","toys",0.31,0.2,0.36,0.52,0.58,0.62,0.75,0.85,0.83,0.83,0.86,0.92,1,0.93,1
80,"lutka","word","toys",0.31,0.24,0.36,0.33,0.42,0.38,0.54,0.69,0.77,0.73,0.72,0.88,0.95,0.82,0.79
81,"ljepilo","word","toys",0,0,0,0,0.04,0.03,0.12,0.15,0.1,0.1,0.17,0.2,0.33,0.36,0.54
82,"olovka","word","toys",0,0.08,0.23,0.14,0.46,0.41,0.46,0.58,0.63,0.7,0.83,0.88,0.9,0.82,0.89
83,"pikule","word","toys",0,0.04,0,0,0.15,0.03,0.04,0.15,0.07,0.07,0.17,0.24,0.14,0.25,0.18
84,"plastelin","word","toys",0,0,0,0,0,0,0,0,0.03,0.1,0.03,0.28,0.14,0.21,0.18
85,"poklon","word","toys",0,0.04,0.09,0,0.08,0.03,0.08,0.31,0.2,0.23,0.48,0.48,0.57,0.46,0.54
86,"slagalice (puzzle)","word","toys",0,0,0.05,0.05,0.04,0,0.12,0.15,0.1,0.27,0.17,0.52,0.48,0.39,0.43
87,"slikovnica","word","toys",0,0,0.09,0.05,0.15,0.14,0.25,0.27,0.3,0.47,0.52,0.68,0.62,0.86,0.46
88,"banana","word","food_drink",0,0.48,0.55,0.52,0.58,0.59,0.83,0.92,0.87,0.97,0.93,0.96,1,0.93,1
89,"blitva","word","food_drink",0,0,0.09,0,0.04,0.03,0.12,0.15,0.13,0.1,0.14,0.36,0.33,0.21,0.25
90,"bombon","word","food_drink",0.08,0.24,0.45,0.57,0.69,0.69,0.92,0.73,0.93,0.93,0.97,0.96,1,1,1
91,"bundeva","word","food_drink",0,0.04,0,0,0.04,0.03,0.04,0.04,0.07,0.03,0.03,0.12,0.1,0.18,0.29
92,"čaj","word","food_drink",0.08,0.32,0.45,0.38,0.58,0.52,0.62,0.77,0.93,0.83,1,1,0.95,0.93,0.93
93,"čips","word","food_drink",0,0.08,0.09,0.14,0.23,0.24,0.29,0.35,0.6,0.63,0.62,0.76,0.76,0.71,0.89
94,"čokolada","word","food_drink",0.08,0.36,0.36,0.48,0.58,0.59,0.75,0.88,0.87,0.97,0.97,0.96,0.95,0.89,0.96
95,"čokolino","word","food_drink",0.15,0.16,0.09,0.19,0.31,0.34,0.38,0.38,0.67,0.53,0.59,0.68,0.86,0.82,0.75
96,"grah","word","food_drink",0,0.08,0.23,0.1,0.08,0.24,0.42,0.38,0.6,0.5,0.59,0.72,0.71,0.57,0.79
97,"grašak","word","food_drink",0,0.04,0.09,0.05,0.15,0.14,0.12,0.23,0.27,0.2,0.34,0.56,0.38,0.5,0.43
98,"griz","word","food_drink",0,0.04,0.09,0.19,0.08,0.17,0.25,0.23,0.23,0.37,0.48,0.64,0.52,0.5,0.46
99,"grožđe","word","food_drink",0,0.04,0.09,0.19,0.15,0.17,0.21,0.31,0.33,0.53,0.48,0.52,0.86,0.61,0.71
100,"grožđica","word","food_drink",0,0,0.05,0,0.04,0,0.08,0.12,0.1,0.13,0.21,0.24,0.14,0.21,0.32
101,"hamburger","word","food_drink",0,0,0,0,0,0,0.08,0.04,0.03,0.03,0.03,0.04,0.14,0.14,0.18
102,"hrana","word","food_drink",0,0.04,0.05,0,0.04,0.07,0.21,0.19,0.4,0.2,0.14,0.32,0.43,0.32,0.43
103,"hrenovke","word","food_drink",0,0,0.09,0.19,0.08,0.14,0.38,0.35,0.3,0.57,0.62,0.8,0.76,0.57,0.86
104,"jabuka","word","food_drink",0.08,0.16,0.27,0.33,0.5,0.52,0.62,0.73,0.87,0.83,0.93,0.92,1,0.86,0.93
105,"jagoda","word","food_drink",0,0.04,0.09,0.14,0.08,0.17,0.29,0.31,0.37,0.4,0.45,0.64,0.81,0.68,0.68
106,"jaje","word","food_drink",0.38,0.48,0.5,0.71,0.69,0.69,0.83,0.92,0.9,0.97,0.97,0.96,0.95,0.96,0.96
