"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
37,"工人的名字","word","people",0.02,0.07,0.05,0.11,0.05,0.1,0.11,0.09,0.19,0.06,0.15,0.24,0.14,0.21,0.19
38,"小朋友的名字","word","people",0.07,0.18,0.15,0.21,0.3,0.28,0.48,0.5,0.59,0.77,0.64,0.53,0.74,0.76,0.72
39,"細路仔/小朋友","word","people",0,0.03,0.03,0.05,0.11,0.12,0.08,0.28,0.34,0.37,0.49,0.52,0.61,0.76,0.69
40,"男(仔)","word","people",0,0.02,0.02,0.03,0.04,0.07,0.21,0.16,0.28,0.37,0.42,0.4,0.62,0.68,0.68
41,"女(仔)","word","people",0,0,0.03,0.03,0.07,0.07,0.19,0.15,0.28,0.37,0.4,0.45,0.62,0.66,0.63
42,"司機","word","people",0,0.03,0.03,0.03,0.05,0.04,0.11,0.2,0.26,0.29,0.33,0.4,0.53,0.59,0.54
43,"醫生","word","people",0,0.03,0.03,0.08,0.04,0.15,0.19,0.24,0.34,0.48,0.54,0.63,0.74,0.79,0.68
44,"謢士/姑娘","word","people",0,0.05,0.05,0.05,0.11,0.12,0.14,0.19,0.29,0.31,0.39,0.5,0.58,0.49,0.51
45,"老師/先生","word","people",0,0,0.03,0.03,0.07,0.1,0.13,0.18,0.29,0.35,0.46,0.44,0.61,0.68,0.74
46,"警察/差人","word","people",0.02,0.03,0.03,0.03,0.04,0.1,0.14,0.27,0.29,0.4,0.46,0.63,0.64,0.72,0.68
47,"消防員","word","people",0,0,0,0,0.01,0,0.06,0.14,0.16,0.14,0.22,0.19,0.29,0.49,0.47
48,"得得B","word","people",0.07,0.13,0.17,0.09,0.21,0.22,0.22,0.38,0.46,0.55,0.45,0.53,0.71,0.63,0.71
49,"Hello Kitty","word","people",0,0,0.05,0.06,0,0.01,0.05,0.07,0.04,0.06,0.01,0.02,0.05,0.07,0.1
50,"比卡超","word","people",0,0.07,0.14,0.12,0.22,0.17,0.24,0.5,0.38,0.54,0.49,0.6,0.64,0.73,0.72
51,"超人","word","people",0,0.08,0.09,0.09,0.12,0.22,0.25,0.35,0.38,0.48,0.51,0.65,0.71,0.77,0.75
52,"人","word","people",0,0.05,0.12,0.05,0.21,0.15,0.29,0.35,0.46,0.52,0.58,0.69,0.7,0.85,0.76
53,"水","word","food_drink",0.18,0.39,0.5,0.47,0.7,0.69,0.73,0.84,0.88,0.95,0.94,0.98,0.95,0.96,0.97
54,"牛奶/奶奶","word","food_drink",0.51,0.72,0.76,0.77,0.86,0.79,0.83,0.93,0.9,0.95,0.99,0.97,0.95,0.94,0.97
55,"湯","word","food_drink",0.07,0.11,0.23,0.21,0.4,0.42,0.49,0.55,0.69,0.8,0.78,0.9,0.8,0.9,0.9
56,"果汁","word","food_drink",0.04,0.18,0.15,0.2,0.32,0.36,0.46,0.46,0.49,0.52,0.7,0.68,0.74,0.75,0.76
57,"茶","word","food_drink",0,0.16,0.12,0.2,0.26,0.32,0.38,0.43,0.56,0.58,0.63,0.66,0.76,0.7,0.59
58,"汽水","word","food_drink",0.02,0.07,0.08,0.09,0.15,0.14,0.21,0.34,0.4,0.46,0.48,0.47,0.67,0.68,0.6
59,"可樂/其他飲品名稱","word","food_drink",0.13,0.2,0.12,0.24,0.37,0.4,0.51,0.45,0.56,0.52,0.63,0.81,0.8,0.73,0.81
60,"嘢食","word","food_drink",0.2,0.21,0.09,0.15,0.23,0.28,0.25,0.32,0.44,0.54,0.49,0.47,0.67,0.7,0.65
